Number of Authors:,79885
Number of Papers:,100000
Number of Topics:,3150
degree-density-values,credit-distrib-marginalized,credit-distrib-dominant,percent-marg-x,avg-credit-y
46,47,59,0.4751131221719457,5.14027149321267
43,28,83,0.42857142857142855,4.428571428571429
32,27,31,0.4827031375703942,5.14320193081255
31,17,33,0.3333333333333333,5.625
28,14,47,0.48466257668711654,4.959100204498977
27,11,29,0.4787234042553192,4.851063829787234
25,11,43,0.5119047619047619,5.022108843537415
25,15,35,0.42857142857142855,4.428571428571429
25,12,35,0.4963091619626574,5.077724706904038
24,4,29,0.4953271028037383,5.018691588785047
23,13,51,0.4380952380952381,5.123809523809523
23,6,39,0.4789272030651341,4.942528735632184
22,8,25,0.4358974358974359,5.538461538461538
21,9,33,0.5078125,4.9328125
20,27,25,0.5555555555555556,3.888888888888889
20,9,31,0.42857142857142855,6.285714285714286
19,16,33,0.46898263027295284,4.858560794044665
19,12,27,1.0,2.0
19,15,23,0.43523316062176165,5.196891191709844
19,20,37,0.5302013422818792,4.751677852348993
19,8,11,1.0,2.0
19,9,21,0.14285714285714285,4.428571428571429
19,13,25,0.5362318840579711,4.905797101449275
18,9,31,0.5454545454545454,4.2727272727272725
18,8,23,0.46153846153846156,4.97737556561086
18,15,25,0.55,4.1
18,10,31,0.5555555555555556,4.166666666666667
18,17,23,0.5,3.5
17,7,29,0.375,4.0625
17,8,9,0.5,3.5
17,19,25,0.536741214057508,4.961661341853035
17,13,41,0.5217391304347826,4.3478260869565215
17,12,27,0.44660194174757284,5.495145631067961
17,14,29,0.5,4.7368421052631575
17,14,35,0.4112903225806452,4.838709677419355
17,8,39,0.4817073170731707,4.969512195121951
17,19,23,0.4608695652173913,4.717391304347826
17,5,19,0.5100286532951289,4.988538681948424
17,12,17,0.7,3.3
17,10,11,0.3076923076923077,5.3076923076923075
17,9,29,0.5291005291005291,4.851851851851852
17,11,13,0.4090909090909091,4.818181818181818
17,4,15,0.5238095238095238,4.6571428571428575
16,11,17,0.36363636363636365,4.545454545454546
16,12,13,0.46774193548387094,5.290322580645161
16,10,15,0.6,4.866666666666666
16,7,23,0.48366013071895425,5.016806722689076
16,12,9,0.0,3.0
16,6,15,0.4,4.5
16,15,21,0.8181818181818182,3.909090909090909
16,6,9,0.0,5.0
15,6,37,0.4,4.7
15,15,21,0.3333333333333333,3.6666666666666665
15,11,17,0.36363636363636365,4.545454545454546
15,13,17,0.3333333333333333,3.8333333333333335
15,11,29,0.4,4.96
15,14,29,0.3333333333333333,5.0
15,14,27,0.5,2.5
15,9,29,0.47058823529411764,3.5294117647058822
15,4,27,0.4482758620689655,3.9310344827586206
15,4,37,0.36363636363636365,4.909090909090909
15,7,11,0.30952380952380953,4.785714285714286
15,8,33,0.0,3.0
15,11,29,0.0,4.0
15,12,31,0.25,3.5
14,10,23,0.42857142857142855,4.357142857142857
14,10,11,0.0,3.6666666666666665
14,11,45,0.2222222222222222,3.6666666666666665
14,13,35,0.75,3.5
14,8,33,0.5,3.9375
14,8,25,0.75,3.25
14,17,21,1.0,3.0
14,10,25,0.8,3.2
14,15,11,0.6666666666666666,3.0
14,7,15,0.8571428571428571,3.0
14,7,27,0.8,3.2
14,6,25,0.8,3.2
14,8,9,0.4,4.0
14,8,25,0.375,3.625
14,6,11,0.375,4.5
14,8,59,0.2857142857142857,3.2857142857142856
