Number of Authors:,806
Number of Papers:,1000
Number of Topics:,53
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y,num-authors
1,14,31,Dominant,,1.0,3.6666666666666665,3
2,14,25,Dominant,,0.4807692307692308,4.6923076923076925,104
3,22,49,Dominant,,0.0,4.6,5
4,28,28,Marginalized,,0.0,3.0,1
5,15,25,Dominant,,0.4074074074074074,4.87037037037037,54
6,15,14,Marginalized,,0.48507462686567165,4.746268656716418,134
7,12,13,Marginalized,,0.4444444444444444,4.222222222222222,9
8,15,16,Marginalized,,0.4166666666666667,4.333333333333333,24
9,11,9,Marginalized,,0.4857142857142857,4.723809523809524,105
10,11,11,Marginalized,,0.625,3.6666666666666665,24
11,5,11,Dominant,,0.5161290322580645,5.080645161290323,124
12,3,11,Dominant,,0.5263157894736842,3.736842105263158,19
13,4,6,Marginalized,,0.5625,3.8125,16
14,2,3,Marginalized,,0.5,3.6818181818181817,22
15,3,3,Marginalized,,0.463768115942029,4.391304347826087,69
16,7,19,Dominant,,0.5,3.75,20
17,10,21,Dominant,,0.5333333333333333,3.8,15
18,4,9,Dominant,,0.49586776859504134,5.578512396694215,121
19,7,9,Marginalized,,0.5201465201465202,4.967032967032967,273
20,9,11,Marginalized,,0.559322033898305,3.559322033898305,59
21,17,15,Marginalized,,0.5833333333333334,4.25,36
22,10,27,Dominant,,0.5189873417721519,5.341772151898734,237
23,3,7,Marginalized,,0.7058823529411765,3.588235294117647,17
24,2,3,Marginalized,,0.5,4.0,6
25,4,5,Marginalized,,0.2857142857142857,3.7142857142857144,7
26,3,5,Marginalized,,0.5,4.0,6
27,17,15,Marginalized,,0.5,4.0,6
28,9,12,Marginalized,,0.5,4.0,6
29,10,23,Dominant,,,,
30,13,15,Marginalized,,,,
31,7,7,Marginalized,,,,
32,7,15,Dominant,,,,
33,14,23,Dominant,,,,
34,12,11,Marginalized,,,,
35,7,8,Marginalized,,,,
36,5,9,Dominant,,,,
37,6,7,Marginalized,,,,
38,2,3,Marginalized,,,,
39,7,8,Marginalized,,,,
40,7,8,Marginalized,,,,
41,4,6,Marginalized,,,,
42,3,6,Marginalized,,,,
43,5,7,Dominant,,,,
44,7,8,Marginalized,,,,
45,5,15,Dominant,,,,
46,7,15,Dominant,,,,
47,3,9,Dominant,,,,
48,5,6,Marginalized,,,,
49,5,17,Dominant,,,,
50,9,21,Dominant,,,,
51,3,7,Dominant,,,,
52,9,23,Dominant,,,,
53,2,3,Marginalized,,,,
54,7,6,Marginalized,,,,
55,5,11,Dominant,,,,
56,8,8,Marginalized,,,,
57,4,7,Marginalized,,,,
58,3,5,Marginalized,,,,
59,2,7,Dominant,,,,
60,4,11,Dominant,,,,
61,11,9,Marginalized,,,,
62,3,5,Dominant,,,,
63,2,7,Dominant,,,,
64,7,11,Dominant,,,,
65,3,4,Marginalized,,,,
66,6,6,Marginalized,,,,
67,5,6,Marginalized,,,,
68,17,12,Marginalized,,,,
69,7,15,Dominant,,,,
70,6,6,Marginalized,,,,
71,6,7,Marginalized,,,,
72,4,6,Marginalized,,,,
73,5,6,Marginalized,,,,
74,5,11,Dominant,,,,
75,5,6,Marginalized,,,,
76,9,25,Dominant,,,,
77,3,7,Dominant,,,,
78,10,7,Marginalized,,,,
79,8,7,Marginalized,,,,
80,3,5,Marginalized,,,,
81,1,3,Dominant,,,,
82,4,6,Marginalized,,,,
