Number of Authors:,77
Number of Papers:,100
Number of Topics:,21
author-id,author-degree,author-credit,author-type,,percent-marg-x,avg-credit-y
1,14,19,Marginalized,,1.0,2.5
2,4,5,Marginalized,,0.8333333333333334,6.0
3,4,7,Marginalized,,0.5,3.3
4,7,27,Dominant,,0.4722222222222222,4.527777777777778
5,8,13,Marginalized,,0.42857142857142855,4.285714285714286
6,4,5,Marginalized,,0.5,4.5
7,3,5,Marginalized,,0.375,4.375
8,7,8,Marginalized,,0.46153846153846156,3.769230769230769
9,2,3,Marginalized,,0.625,3.8125
10,9,17,Dominant,,0.6,3.52
11,2,2,Marginalized,,0.8,5.7
12,2,7,Dominant,,0.4166666666666667,3.0833333333333335
13,8,7,Marginalized,,1.0,5.5
14,6,6,Marginalized,,,
15,1,3,Marginalized,,,
16,9,8,Marginalized,,,
17,4,7,Dominant,,,
18,2,4,Marginalized,,,
19,6,11,Dominant,,,
20,2,4,Marginalized,,,
21,3,7,Dominant,,,
22,3,4,Marginalized,,,
23,1,2,Marginalized,,,
24,3,4,Marginalized,,,
25,6,13,Dominant,,,
26,3,4,Marginalized,,,
27,1,2,Marginalized,,,
28,1,3,Dominant,,,
29,3,4,Marginalized,,,
30,5,11,Dominant,,,
31,2,5,Dominant,,,
32,1,3,Dominant,,,
33,2,7,Dominant,,,
34,2,3,Marginalized,,,
35,2,3,Dominant,,,
36,2,2,Marginalized,,,
37,5,11,Dominant,,,
38,1,2,Marginalized,,,
39,2,3,Marginalized,,,
40,5,3,Marginalized,,,
41,4,5,Dominant,,,
42,3,5,Dominant,,,
43,4,3,Marginalized,,,
44,2,3,Dominant,,,
45,4,9,Dominant,,,
46,2,3,Marginalized,,,
47,2,3,Dominant,,,
48,2,3,Marginalized,,,
49,1,3,Dominant,,,
50,5,5,Dominant,,,
51,1,3,Dominant,,,
52,1,2,Marginalized,,,
53,1,3,Dominant,,,
54,1,2,Marginalized,,,
55,2,3,Dominant,,,
56,1,3,Dominant,,,
57,1,2,Marginalized,,,
58,1,3,Dominant,,,
59,1,2,Marginalized,,,
60,1,2,Marginalized,,,
61,1,2,Marginalized,,,
62,4,2,Marginalized,,,
63,1,2,Marginalized,,,
64,3,3,Marginalized,,,
65,1,3,Dominant,,,
66,4,5,Marginalized,,,
67,2,3,Dominant,,,
68,2,3,Dominant,,,
69,1,3,Dominant,,,
70,2,3,Dominant,,,
71,1,2,Marginalized,,,
72,2,3,Marginalized,,,
73,1,3,Dominant,,,
74,2,3,Marginalized,,,
75,2,3,Dominant,,,
76,1,3,Dominant,,,
77,1,3,Dominant,,,
